Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1990","1990","mil toneladas","106070.941499","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1991","1991","mil toneladas","110256.201116","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1992","1992","mil toneladas","131307.599821","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1993","1993","mil toneladas","131115.444777","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1994","1994","mil toneladas","140139.176501","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1995","1995","mil toneladas","152822.735841","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1996","1996","mil toneladas","164553.128674","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1997","1997","mil toneladas","170980.583527","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1998","1998","mil toneladas","182289.536533","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","1999","1999","mil toneladas","194544.830831","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2000","2000","mil toneladas","196273.256396","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2001","2001","mil toneladas","205607.851379","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2002","2002","mil toneladas","230089.842682","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2003","2003","mil toneladas","246954.762976","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2004","2004","mil toneladas","254556.102815","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2005","2005","mil toneladas","259372.962467","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2006","2006","mil toneladas","273088.662674","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2007","2007","mil toneladas","276599.748589","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2008","2008","mil toneladas","267577.179473","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2009","2009","mil toneladas","282816.722815","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2010","2010","mil toneladas","301192.319628","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2011","2011","mil toneladas","315827.723355","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2012","2012","mil toneladas","316194.222278","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2013","2013","mil toneladas","368950.909761","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2014","2014","mil toneladas","389331.512385","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2015","2015","mil toneladas","381086.956692","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2016","2016","mil toneladas","386031.847161","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2017","2017","mil toneladas","369965.180625","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2018","2018","mil toneladas","351983.897651","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2019","2019","mil toneladas","355773.454034","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2020","2020","mil toneladas","381110.193573","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6504","Fabricación de fertilizantes","2021","2021","mil toneladas","398095.828497","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1990","1990","mil toneladas","50470.682435","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1991","1991","mil toneladas","49662.796893","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1992","1992","mil toneladas","52529.529933","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1993","1993","mil toneladas","52731.693302","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1994","1994","mil toneladas","55485.403937","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1995","1995","mil toneladas","56941.407845","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1996","1996","mil toneladas","59372.277498","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1997","1997","mil toneladas","60035.426132","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1998","1998","mil toneladas","59658.822803","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1999","1999","mil toneladas","59821.632285","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2000","2000","mil toneladas","60450.528403","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2001","2001","mil toneladas","61539.749361","E","Valor estimado"
